,count,mean,min,25%,50%,75%,max,std
Quantity,400916.0,13.767417613664708,1.0,2.0,5.0,12.0,19152.0,97.63838485749363
InvoiceDate,400916,2010-07-01 05:01:16.167027712,2009-12-01 07:45:00,2010-03-26 13:28:00,2010-07-09 10:26:00,2010-10-14 13:58:45,2010-12-09 20:01:00,
Price,400916.0,3.305826143132227,0.001,1.25,1.95,3.75,10953.5,35.04771895518021
Customer ID,400916.0,15361.544074070378,12346.0,13985.0,15311.0,16805.0,18287.0,1680.6358226124303
Sales,400916.0,21.94532955531832,0.001,5.0,12.5,19.5,15818.4,77.75807455845008
Revenue,400916.0,21.94532955531832,0.001,5.0,12.5,19.5,15818.4,77.75807455845008
Year,400916.0,2009.9244929112333,2009.0,2010.0,2010.0,2010.0,2010.0,0.264208142245519
Month,400916.0,7.39816570054575,1.0,4.0,8.0,11.0,12.0,3.472188102804819
Quarter,400916.0,2.784922527412226,1.0,2.0,3.0,4.0,4.0,1.1436929755503398
Day,400916.0,15.365368306577937,1.0,8.0,15.0,23.0,31.0,8.735086152506158
